DATE,CNX,TATA AUTO,HDFC,LARSEN,TKK,DABUR,SUN,WIPRO,TATA STEEL,INDIAN,NTPC,BHARTI
2008-09-04T00:00:00Z,3562.699951,63.2172,228.79,815.4268,156.98,42.73827,119.124,234.4,485.7073,177.936,145.71,400.727
2008-09-05T00:00:00Z,3489.350098,61.8984,218.9,798.6966,159.21,43.27642,118.296,222.469,466.9558,180.2569,145.21,388.796
2008-09-08T00:00:00Z,3575.050049,64.433,227.65,835.7757,160.84,43.05219,121.32,224.761,474.2064,176.1037,151.95,396.371
2008-09-09T00:00:00Z,3560.5,61.9647,226.26,836.2181,160.56,42.51404,120.271,227.158,469.706,181.1174,150.23,405.132
2008-09-10T00:00:00Z,3507.399902,61.8984,225.03,829.2269,162.01,41.39289,120.65,224.605,446.0374,177.1482,149.06,392.523
2008-09-11T00:00:00Z,3433.100098,62.6278,218.9,813.5491,161.07,40.36143,117.169,221.687,438.62,172.5524,145,375.606
2008-09-12T00:00:00Z,3377.899902,59.6806,217.34,805.7491,159.72,40.45112,116.684,217.259,436.4532,170.4634,145.59,375.001
2008-09-15T00:00:00Z,3243.600098,57.4481,208.45,775.9662,154.93,40.1372,116.038,208.897,417.1183,172.9075,142.61,370.282
2008-09-16T00:00:00Z,3229.100098,58.5238,215.38,771.0203,159.21,39.91296,111.934,204.833,405.534,174.8085,142.61,373.186
2008-09-17T00:00:00Z,3169,61.5226,207.87,764.3341,156.47,40.15962,111.256,206.448,394.8664,166.7032,141.53,371.734
2008-09-18T00:00:00Z,3169.75,60.8668,215.4,779.5539,154.32,38.92635,109.687,209.444,383.1987,169.21,145.67,367.862
2008-09-19T00:00:00Z,3314.350098,62.2594,227.49,807.2751,156.56,39.73358,109.829,217.519,399.6168,164.7186,153.12,392.112
2008-09-22T00:00:00Z,3301.149902,61.1542,227.65,784.8204,158.05,40.67535,112.23,216.321,411.7011,158.7649,152.11,390.563
2008-09-23T00:00:00Z,3234,57.4702,216.7,772.8823,159.86,39.03847,115.911,202.15,391.9495,161.2717,150.27,382.891
2008-09-24T00:00:00Z,3255.949951,57.2491,224.5,778.6984,157.35,39.80085,118.257,194.204,405.1173,164.8649,148.93,392.088
2008-09-25T00:00:00Z,3221.699951,56.4608,227.65,783.2633,158.28,39.4645,116.195,181.83,403.9505,161.8985,149.85,384.827
2008-09-26T00:00:00Z,3123.75,54.9651,215.75,753.7094,154.56,39.91296,115.584,178.939,384.9489,162.1074,145.92,375.606
2008-09-29T00:00:00Z,3007.899902,52.7547,211.19,716.6303,151.34,39.4645,113.361,179.746,371.6978,160.8539,139.14,365.345
2008-09-30T00:00:00Z,3058.600098,50.6917,217.15,746.9014,147.11,40.6305,115.73,176.855,356.0298,170.4634,143.87,379.963
2008-10-01T00:00:00Z,3082.800049,49.9549,227.14,742.5654,144.78,40.36143,114.528,182.091,365.3639,168.3744,145.59,381.657
2008-10-03T00:00:00Z,2984.300049,48.6286,224.34,707.7001,143.38,40.15962,117.043,179.251,327.5274,166.8494,143.83,368.588
2008-10-06T00:00:00Z,2809.350098,46.094,212.16,661.873,140.5,39.44208,112.336,168.206,291.6911,166.0765,140.98,354.551
2008-10-07T00:00:00Z,2790.899902,46.9561,199.64,615.5275,139.66,39.06089,106.415,161.511,298.1916,164.3635,147.68,361.618
2008-10-08T00:00:00Z,2693.899902,44.2079,198.06,590.1566,139.66,38.72454,107.744,147.965,281.9403,154.6287,147.09,355.761
2008-10-10T00:00:00Z,2507.550049,43.1763,185.28,543.6591,132.21,34.82294,102.8,137.467,239.52,148.7377,138.3,338.336
2008-10-13T00:00:00Z,2654.350098,44.171,206.64,602.1249,140.59,35.20413,100.214,148.33,253.3545,154.1691,148.93,357.213
2008-10-14T00:00:00Z,2685.050049,43.6184,198.76,613.7268,130.35,35.11444,108.713,152.654,254.1879,154.002,146.21,369.58
2008-10-15T00:00:00Z,2553.300049,41.7543,199.64,546.8648,127.56,34.9799,110.136,143.406,227.269,157.3862,140.02,351.357
